2025-06-16 17:58:58,031 - INFO - Sent end of frame 91, packet 71/71
2025-06-16 17:58:58,075 - INFO - Frame 92: Sending 72 packets, total size 99504 bytes
2025-06-16 17:58:58,076 - INFO - Sent start of frame 92, total packets: 72
2025-06-16 17:58:58,161 - INFO - Sent end of frame 92, packet 71/71
2025-06-16 17:58:58,204 - INFO - Frame 93: Sending 72 packets, total size 98559 bytes
2025-06-16 17:58:58,204 - INFO - Sent start of frame 93, total packets: 72
2025-06-16 17:58:58,288 - INFO - Sent end of frame 93, packet 71/71
2025-06-16 17:58:58,425 - INFO - Frame 94: Sending 73 packets, total size 100301 bytes
2025-06-16 17:58:58,425 - INFO - Sent start of frame 94, total packets: 73
2025-06-16 17:58:58,513 - INFO - Sent end of frame 94, packet 72/72
2025-06-16 17:58:58,555 - INFO - Frame 95: Sending 71 packets, total size 98422 bytes
2025-06-16 17:58:58,556 - INFO - Sent start of frame 95, total packets: 71
2025-06-16 17:58:58,640 - INFO - Sent end of frame 95, packet 70/70
2025-06-16 17:58:58,682 - INFO - Frame 96: Sending 72 packets, total size 99095 bytes
2025-06-16 17:58:58,683 - INFO - Sent start of frame 96, total packets: 72
2025-06-16 17:58:58,768 - INFO - Sent end of frame 96, packet 71/71
2025-06-16 17:58:58,809 - INFO - Frame 97: Sending 71 packets, total size 98511 bytes
2025-06-16 17:58:58,809 - INFO - Sent start of frame 97, total packets: 71
2025-06-16 17:58:58,893 - INFO - Sent end of frame 97, packet 70/70
2025-06-16 17:58:58,937 - INFO - Frame 98: Sending 73 packets, total size 100628 bytes
2025-06-16 17:58:58,937 - INFO - Sent start of frame 98, total packets: 73
2025-06-16 17:58:59,024 - INFO - Sent end of frame 98, packet 72/72
2025-06-16 17:58:59,069 - INFO - Frame 99: Sending 71 packets, total size 98527 bytes
2025-06-16 17:58:59,069 - INFO - Sent start of frame 99, total packets: 71
2025-06-16 17:58:59,153 - INFO - Sent end of frame 99, packet 70/70
2025-06-16 17:58:59,196 - INFO - Frame 100: Sending 72 packets, total size 99089 bytes
2025-06-16 17:58:59,196 - INFO - Sent start of frame 100, total packets: 72
2025-06-16 17:58:59,282 - INFO - Sent end of frame 100, packet 71/71
2025-06-16 17:58:59,327 - INFO - Frame 101: Sending 72 packets, total size 98579 bytes
2025-06-16 17:58:59,327 - INFO - Sent start of frame 101, total packets: 72
2025-06-16 17:58:59,411 - INFO - Sent end of frame 101, packet 71/71
2025-06-16 17:58:59,454 - INFO - Frame 102: Sending 73 packets, total size 100705 bytes
2025-06-16 17:58:59,454 - INFO - Sent start of frame 102, total packets: 73
2025-06-16 17:58:59,541 - INFO - Sent end of frame 102, packet 72/72
2025-06-16 17:58:59,585 - INFO - Frame 103: Sending 72 packets, total size 98551 bytes
2025-06-16 17:58:59,585 - INFO - Sent start of frame 103, total packets: 72
2025-06-16 17:58:59,671 - INFO - Sent end of frame 103, packet 71/71
2025-06-16 17:58:59,711 - INFO - Frame 104: Sending 72 packets, total size 99219 bytes
2025-06-16 17:58:59,712 - INFO - Sent start of frame 104, total packets: 72
2025-06-16 17:58:59,796 - INFO - Sent end of frame 104, packet 71/71
2025-06-16 17:58:59,839 - INFO - Frame 105: Sending 72 packets, total size 99030 bytes
2025-06-16 17:58:59,839 - INFO - Sent start of frame 105, total packets: 72
2025-06-16 17:58:59,923 - INFO - Sent end of frame 105, packet 71/71
2025-06-16 17:58:59,966 - INFO - Frame 106: Sending 73 packets, total size 100995 bytes
2025-06-16 17:58:59,966 - INFO - Sent start of frame 106, total packets: 73
2025-06-16 17:59:00,059 - INFO - Sent end of frame 106, packet 72/72
2025-06-16 17:59:00,157 - INFO - Frame 107: Sending 72 packets, total size 98856 bytes
2025-06-16 17:59:00,157 - INFO - Sent start of frame 107, total packets: 72
2025-06-16 17:59:00,265 - INFO - Sent end of frame 107, packet 71/71
2025-06-16 17:59:00,308 - INFO - Frame 108: Sending 72 packets, total size 99230 bytes
2025-06-16 17:59:00,308 - INFO - Sent start of frame 108, total packets: 72
2025-06-16 17:59:00,492 - INFO - Sent end of frame 108, packet 71/71
2025-06-16 17:59:00,536 - INFO - Frame 109: Sending 72 packets, total size 98817 bytes
2025-06-16 17:59:00,536 - INFO - Sent start of frame 109, total packets: 72
2025-06-16 17:59:00,621 - INFO - Sent end of frame 109, packet 71/71
2025-06-16 17:59:00,661 - INFO - Frame 110: Sending 73 packets, total size 101028 bytes
2025-06-16 17:59:00,662 - INFO - Sent start of frame 110, total packets: 73
2025-06-16 17:59:00,747 - INFO - Sent end of frame 110, packet 72/72
2025-06-16 17:59:00,844 - INFO - Frame 111: Sending 72 packets, total size 98803 bytes
2025-06-16 17:59:00,844 - INFO - Sent start of frame 111, total packets: 72
2025-06-16 17:59:00,931 - INFO - Sent end of frame 111, packet 71/71
2025-06-16 17:59:00,973 - INFO - Frame 112: Sending 72 packets, total size 99404 bytes
2025-06-16 17:59:00,974 - INFO - Sent start of frame 112, total packets: 72
2025-06-16 17:59:01,058 - INFO - Sent end of frame 112, packet 71/71
2025-06-16 17:59:01,103 - INFO - Frame 113: Sending 72 packets, total size 99087 bytes
2025-06-16 17:59:01,104 - INFO - Sent start of frame 113, total packets: 72
2025-06-16 17:59:01,188 - INFO - Sent end of frame 113, packet 71/71
2025-06-16 17:59:01,232 - INFO - Frame 114: Sending 73 packets, total size 100914 bytes
2025-06-16 17:59:01,232 - INFO - Sent start of frame 114, total packets: 73
2025-06-16 17:59:01,319 - INFO - Sent end of frame 114, packet 72/72
2025-06-16 17:59:01,362 - INFO - Frame 115: Sending 72 packets, total size 98981 bytes
2025-06-16 17:59:01,362 - INFO - Sent start of frame 115, total packets: 72
